                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.2363,                0.51049,                0.93109,                0.98866,                0.72222,                0.76929,                0.50442,                 1.2191,                0.71697,                0.96939,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.3304,                0.52155,                0.98193,                0.98737,                0.72222,                0.79141,                0.52425,                 1.2078,                0.71486,                0.96892,               0.000416,               0.000416,               0.000416
                     83,                 1.2057,                0.48271,                0.93775,                0.98826,                0.72222,                0.79611,                0.52537,                 1.2126,                 0.6912,                0.96788,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.2313,                0.50764,                0.94487,                0.93256,                0.76874,                0.78422,                0.50727,                 1.2334,                0.63584,                 0.9644,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.1378,                0.52792,                0.95072,                0.93323,                0.77661,                0.78553,                0.51204,                 1.2724,                0.62253,                0.96843,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.1857,                0.49726,                0.92993,                0.93245,                 0.7675,                0.78777,                 0.5187,                 1.3331,                0.59027,                0.97374,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.2512,                0.52649,                0.93166,                0.93192,                0.76127,                0.78862,                0.51523,                 1.3309,                0.57781,                0.97245,               0.000317,               0.000317,               0.000317
                     88,                 1.1985,                0.52222,                0.92566,                0.99377,                0.72222,                0.78409,                0.52733,                 1.2752,                0.56783,                0.96431,              0.0002972,              0.0002972,              0.0002972
                     89,                  1.156,                0.47154,                 0.9211,                0.99397,                0.72222,                0.78152,                0.55148,                 1.2448,                0.59352,                0.95814,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.2337,                0.54349,                0.93201,                0.99381,                0.72222,                0.78177,                0.55847,                 1.2254,                0.61779,                0.95118,              0.0002576,              0.0002576,              0.0002576
                     91,                  1.199,                0.56783,                 0.8964,                0.99365,                0.72222,                0.80745,                0.56117,                 1.2108,                0.62883,                 0.9492,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.2773,                0.58718,                 0.9474,                0.99383,                0.72222,                0.81507,                  0.569,                 1.1708,                0.61458,                0.94921,               0.000218,               0.000218,               0.000218
                     93,                 1.1973,                0.56134,                0.92049,                0.99373,                0.72222,                0.81228,                0.55932,                 1.1486,                0.61989,                0.95063,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.0261,                0.54279,                0.88349,                0.99353,                0.72222,                0.81442,                0.52605,                 1.2291,                0.59139,                0.96375,              0.0001784,              0.0001784,              0.0001784
                     95,                0.97772,                0.46279,                0.88438,                0.99328,                0.72222,                0.81172,                0.52063,                 1.2626,                0.58857,                 0.9694,              0.0001586,              0.0001586,              0.0001586
                     96,                0.97346,                0.50539,                 0.9014,                0.99321,                0.72222,                0.81197,                0.52402,                 1.2424,                0.59114,                0.96548,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.0085,                0.52142,                0.83888,                0.99344,                0.72222,                0.81291,                0.54366,                 1.2026,                0.59207,                 0.9596,               0.000119,               0.000119,               0.000119
                     98,                0.97527,                0.49357,                0.88875,                0.99376,                0.72222,                0.81798,                0.56245,                 1.1401,                0.59603,                0.95095,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.91242,                0.48169,                0.91109,                0.99393,                0.72222,                0.81619,                0.57022,                 1.1219,                0.59091,                0.94669,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.0301,                0.51251,                0.90957,                      1,                0.77324,                0.82531,                0.60297,                  1.136,                0.57858,                0.94164,               5.96e-05,               5.96e-05,               5.96e-05
